Date,Owner Occupier Standard Variable Rate,RBA Cash Rate
8-Mar-2023,,3.60
8-Feb-23,7.77,3.35
7-Dec-22,7.52,3.10
2-Nov-22,7.27,2.85
5-Oct-22,7.02,2.60
7-Sep-22,6.77,2.35
3-Aug-22,6.27,1.85
6-Jul-22,5.77,1.35
8-Jun-22,5.27,0.85
4-May-22,4.77,0.35
4-Nov-20,4.52,0.10
20-Mar-20,4.52,0.25
4-Mar-20,4.52,0.50
2-Oct-19,4.80,0.75
3-Jul-19,4.94,1.00
5-Jun-19,5.15,1.25
3-Aug-16,5.26,1.50
4-May-16,5.39,1.75
6-May-15,5.46,2.00
4-Feb-15,5.67,2.25
7-Aug-13,5.93,2.50
8-May-13,6.18,2.75
5-Dec-12,6.44,3.00
3-Oct-12,6.64,3.25
6-Jun-12,6.83,3.50
2-May-12,7.04,3.75
7-Dec-11,7.30,4.25
2-Nov-11,7.55,4.50
3-Nov-10,7.79,4.75
5-May-10,7.39,4.50
7-Apr-10,7.14,4.25
3-Mar-10,6.89,4.00
2-Dec-09,6.64,3.75
4-Nov-09,6.28,3.50
7-Oct-09,6.03,3.25
8-Apr-09,5.76,3.00
4-Feb-09,5.84,3.25
3-Dec-08,6.84,4.25
5-Nov-08,7.73,5.25
8-Oct-08,8.34,6.00
3-Sep-08,9.36,7.00
5-Mar-08,9.34,7.25
6-Feb-08,8.99,7.00
7-Nov-07,8.57,6.75
8-Aug-07,8.32,6.50
8-Nov-06,8.07,6.25
2-Aug-06,7.82,6.00
3-May-06,7.57,5.75
2-Mar-05,7.32,5.50
3-Dec-03,7.07,5.25
5-Nov-03,6.82,5.00
5-Jun-02,6.57,4.75
8-May-02,6.32,4.50
5-Dec-01,6.07,4.25
3-Oct-01,6.32,4.50
5-Sep-01,6.57,4.75
4-Apr-01,6.57,5.00
7-Mar-01,7.32,5.50
7-Feb-01,7.57,5.75
2-Aug-00,8.07,6.25
3-May-00,7.80,6.00
5-Apr-00,7.55,5.75
2-Feb-00,7.30,5.50
3-Nov-99,6.75,5.00
2-Dec-98,6.52,4.75
30-Jul-97,7.05,5.00
23-May-97,7.13,5.50
11-Dec-96,8.48,6.00
6-Nov-96,8.88,6.50
31-Jul-96,9.91,7.00
14-Dec-94,9.97,7.50
24-Oct-94,9.36,6.50
17-Aug-94,8.75,5.50
30-Jul-93,9.50,4.75
23-Mar-93,9.92,5.25
8-Jul-92,10.30,5.75
6-May-92,11.00,6.50
8-Jan-92,11.75,7.50
6-Nov-91,12.50,8.50
3-Sep-91,13.00,9.50
16-May-91,13.88,10.50
4-Apr-91,14.38,11.50
18-Dec-90,15.13,12.00
15-Oct-90,16.00,13.00
2-Aug-90,16.38,14.00